PLAYER,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,TOV
Brandon Ingram,56.25,33.85,23.0,5.325,5.5,0.7,0.525,0.47575,0.36325,0.84675,2.75
Brandon Miller,50.5,33.2,19.15,4.6,3.0,1.0,0.6499999999999999,0.4215,0.364,0.844,2.3
Brandon Williams,28.5,20.75,10.600000000000001,2.45,3.0999999999999996,0.85,0.30000000000000004,0.4465,0.346,0.7669999999999999,1.7999999999999998
Braxton Key,20.0,3.0,1.1,0.9,0.5,0.1,0.1,0.412,0.4,0.75,0.1
Brice Sensabaugh,51.5,19.25,9.2,3.1,1.6,0.5,0.15000000000000002,0.4245,0.359,0.896,1.5
Brodric Thomas,32.0,12.5,3.9,1.7,0.9,0.5,0.3,0.361,0.271,0.674,0.7
Bronny James,27.0,6.7,2.3,0.7,0.8,0.3,0.1,0.313,0.281,0.786,0.5
Brook Lopez,76.75,29.975,13.425,5.475,1.35,0.55,2.075,0.507,0.36275,0.819,1.1
Bruce Brown,65.0,25.14,9.680000000000001,4.5,2.4,0.96,0.44000000000000006,0.4888,0.3412,0.7779999999999999,1.08
Bruno Fernando,36.75,9.375,3.65,3.0,0.575,0.225,0.5,0.5435,0.125,0.6685,0.675
Bryce McGowens,52.5,16.0,5.199999999999999,1.85,1.05,0.35,0.15000000000000002,0.4175,0.329,0.763,0.7
