Year,Player,Pos,Body Fat %,Hand Length,Hand Width (inches),Height Without Shoes,Height With Shoes,Standing Reach,Weight (lbs),Wingspan
2024-25,Pacome Dadiet,SF,-%,8.5,9,6' 7.75'',,8' 11.5'',216.8,6' 9''
2024-25,N'Faly Dante,C,-%,9.25,10,6' 10.00'',,9' 3.00'',260.2,7' 6.00''
2024-25,Robert Dillingham,PG,-%,8,8.25,6' 1.00'',,7' 11.00'',164.2,6' 3.00''
2024-25,Nikola Djurisic,SF,-%,8.5,10,6' 7.00'',,8' 6.50'',208.8,6' 8.00''
2024-25,Ryan Dunn,PF,-%,9,9.75,6' 6.25'',,8' 7.00'',213.6,7' 1.50''
2024-25,Zach Edey,C,-%,10,10.75,7' 3.75'',,9' 7.00'',299,7' 10.75''
2024-25,Justin Edwards,SF,-%,8.75,8.75,6' 6.00'',,8' 6.50'',209.4,6' 10.00''
2024-25,Jesse Edwards,C,-%,9.25,10,6' 11.50'',,9' 3.00'',236,7' 5.00''
2024-25,Boogie Ellis,PG-SG,-%,9,9.5,6' 0.75'',,8' 2.00'',185,6' 7.00''
2024-25,Kyle Filipowski,PF,-%,8.75,9.5,6' 10.75'',,8' 11.00'',229.8,6' 10.50''
2024-25,Trentyn Flowers,SF,-%,8.75,9.5,6' 6.50'',,8' 4.50'',201.4,6' 8.25''
2024-25,Enrique Freeman,PF,-%,8.75,10,6' 7.25'',,9' 0.00'',212,7' 2.00''
2024-25,Johnny Furphy,SF,-%,8,9.5,6' 7.50'',,8' 8.50'',188.8,6' 8.00''
2024-25,Kyshawn George,SF,-%,9,10.25,6' 7.00'',,8' 9.00'',208.8,6' 10.25''
2024-25,Tyon Grant-Foster,SF,-%,8.75,9.25,6' 5.75'',,8' 8.00'',215.2,6' 11.75''
2024-25,PJ Hall,C,-%,9,9.75,6' 8.25'',,8' 7.50'',239.6,7' 1.50''
2024-25,Coleman Hawkins,PF,-%,8.75,8.75,6' 8.25'',,8' 11.00'',215.2,7' 0.00''
2024-25,Ron Holland II,SF,-%,8.75,9,6' 6.50'',,8' 8.00'',196.8,6' 10.75''
2024-25,DaRon Holmes II,C,-%,8.75,9,6' 8.75'',,9' 0.00'',236.2,7' 1.00''
2024-25,Ariel Hukporti,C,-%,9.25,10.25,6' 10.75'',,9' 3.00'',246.2,7' 2.50''
