G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Name
90,90,30.9,5.5,11.6,0.476,0.7,2.2,0.322,4.8,9.3,0.513,0.507,4,5.6,0.714,2.5,5.5,8,2.2,0.9,1,2.4,2.3,15.7,Orlando Robinson
91,76,29.9,5.6,10.7,0.522,0.9,2.8,0.319,4.7,7.9,0.593,0.563,3.4,4.6,0.739,1.9,5.5,7.4,2.4,0.9,0.8,2.2,2.2,15.5,David Roddy
64,64,31.5,5.9,13,0.453,1.4,4.3,0.317,4.5,8.7,0.521,0.505,3.2,4.1,0.796,0.8,4.8,5.6,3.1,1.4,0.2,2.3,2.6,16.4,Ryan Rollins
107,93,29.3,4.4,10.9,0.406,2.6,7,0.369,1.9,3.9,0.471,0.524,2.2,2.7,0.824,0.3,2.3,2.7,2.4,1.3,0.1,1.4,1.6,13.6,Marcus Sasser
56,40,27.8,4.5,9.1,0.49,0.3,1.1,0.254,4.2,8,0.523,0.506,2.9,4.2,0.694,2,4.1,6.1,2.2,1.1,0.2,1.9,1.4,12.1,Dereon Seabron
61,58,29.1,4.4,8.3,0.532,0.4,1.4,0.298,4,7,0.579,0.557,3.3,5.1,0.639,2.4,4.6,8.2,2.1,0.9,1.1,3,2.6,12.6,Jabari Smith
66,59,32.6,5.9,15.2,0.388,2.8,8,0.352,3.1,7.2,0.429,0.482,2.5,3.5,0.7,0.8,3,3.8,3.1,1.4,0.4,2,2.3,17.1,Terquavion Smith
30,1,25.1,3.3,7,0.474,0.8,2.7,0.296,2.5,4.3,0.585,0.531,1.8,3,0.589,2,4.4,6.4,1.8,1.3,0.7,1.6,2.3,9.2,Jeremy Sochan
94,68,23.4,3.8,7.8,0.484,1.5,4,0.384,2.3,3.9,0.586,0.581,1.9,2.5,0.745,0.8,3.8,4.6,0.9,0.6,0.2,1,1.7,10.9,Julian Strawther
63,51,24.9,2.4,5.1,0.477,0.7,1.9,0.35,1.8,3.2,0.552,0.542,1,1.5,0.68,1,3.2,4.2,2.9,1,0.3,1.3,2.3,6.6,Dalen Terry
